Type,B Depth,E Depth,1:1 Soil pH,WDRF Buffer pH,1:1 S Salts mmho/cm,Excess Lime,Potassium ppm K,Calcium ppm Ca,Magnesium ppm Mg,Sodium ppm Na,CEC/Sum of Cations me/100g,%H Sat,%K Sat,%Ca Sat,%Mg Sat,%Na Sat
GOOD  BLOCK 3 STRIP 3 PLOT 1 ,0,6,6.7,7.2,0.55,NONE,367,2168,464,130,16.2,0,6,67,24,3
GOOD  BLOCK 3 STRIP 3 PLOT 1 ,6,12,7.3,7.2,1.51,LOW,189,3716,779,451,27.5,0,2,67,24,7
GOOD  BLOCK 3 STRIP 2 PLOT 3,0,6,6.7,7.2,0.43,NONE,335,2086,463,105,15.6,0,6,66,25,3
GOOD  BLOCK 3 STRIP 2 PLOT 3,6,12,7.2,7.2,0.6,NONE,183,2085,726,366,18.5,0,3,55,33,9
GOOD  BLOCK 3 STRIP 4 PLOT 3 ,0,6,6.6,7.2,0.41,NONE,442,2187,422,126,16.1,0,7,68,22,3
GOOD  BLOCK 3 STRIP 4 PLOT 3 ,6,12,6.9,7.2,1.28,NONE,213,2061,539,445,17.3,0,3,60,26,11
SALINE  BLOCK 4 STRIP 2 PLOT 2,0,6,8.3,7.2,7.04,HIGH,204,5241,1348,3790,54.4,0,1,48,21,30
SALINE  BLOCK 4 STRIP 2 PLOT 2,6,12,8.4,7.2,3.69,HIGH,148,4970,874,1970,41.1,0,1,60,18,21
SALINE  BLOCK 4 STRIP 4 PLOT 2,0,6,8.4,7.2,8.03,HIGH,201,5543,1578,3498,56.6,0,1,49,23,27
SALINE  BLOCK 4 STRIP 4 PLOT 2,6,12,8.4,7.2,4.7,LOW,153,6135,1069,1915,48.3,0,1,64,18,17
SALINE  BLOCK 4 STRIP 1 PLOT 3,0,6,8.2,7.2,5.56,LOW,217,5292,992,2794,47.4,0,1,56,17,26
SALINE  BLOCK 4 STRIP 1 PLOT 3,6,12,8.3,7.2,3.13,LOW,149,5701,746,1407,41.2,0,1,69,15,15
SALINE  BLOCK 4 STRIP 3 PLOT 3,0,6,8.5,7.2,9.07,LOW,224,5966,1544,4223,61.6,0,1,48,21,30
SALINE  BLOCK 4 STRIP 3 PLOT 3,6,12,8.4,7.2,4.69,LOW,148,9406,962,1911,63.7,0,1,73,13,13
GOOD  BLOCK 4 STRIP 2 PLOT 2,0,6,6.8,7.2,0.48,NONE,300,1887,454,211,14.9,0,5,63,25,6
GOOD  BLOCK 4 STRIP 2 PLOT 2,6,12,7.5,7.2,0.78,NONE,229,2037,980,684,21.9,0,3,46,37,14
GOOD  BLOCK 4 STRIP 4 PLOT 2,0,6,6.8,7.2,0.42,NONE,210,1659,439,273,13.7,0,4,60,27,9
GOOD  BLOCK 4 STRIP 4 PLOT 2,6,12,7.2,7.2,1.45,NONE,233,1860,848,965,21.2,0,3,44,33,20
GOOD  BLOCK 4 STRIP 1 PLOT 3,0,6,6.7,7.2,0.36,NONE,392,1925,421,126,14.7,0,7,65,24,4
GOOD  BLOCK 4 STRIP 1 PLOT 3,6,12,7.3,7.2,0.49,NONE,238,1751,702,398,16.9,0,4,51,35,10
GOOD  BLOCK 4 STRIP 3 PLOT 3,0,6,6.9,7.2,0.4,NONE,362,1712,667,184,15.8,0,6,54,35,5
GOOD  BLOCK 4 STRIP 3 PLOT 3,6,12,7.9,7.2,1.07,NONE,359,2450,1512,713,28.9,0,3,42,44,11
