PPMI_3010,SI495-SI563,PPMI_WES,PPMI_3010^SI495-SI563^PPMI_WES.SN159^554^C4VK0ACXX^8,r1.fq.bz2,r2.fq.bz2,PPMI_3010^SI495-SI563^PPMI_WES
PPMI_3010,SI760-SI784,PPMI_WES,PPMI_3010^SI760-SI784^PPMI_WES.HWI-ST159^527^BC3L8BACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3010^SI760-SI784^PPMI_WES
PPMI_3010,SI760-SI784,PPMI_WES,PPMI_3010^SI760-SI784^PPMI_WES.HWI-ST159^527^BC3L8BACXX^5,r1.fq.gz,r2.fq.gz,PPMI_3010^SI760-SI784^PPMI_WES
PPMI_3010,SI760-SI784,PPMI_WES,PPMI_3010^SI760-SI784^PPMI_WES.HWI-ST159^527^BC3L8BACXX^6,r1.fq.gz,r2.fq.gz,PPMI_3010^SI760-SI784^PPMI_WES
PPMI_3011,SI1697-SI1696,PPMI_WES,PPMI_3011^SI1697-SI1696^PPMI_WES.SN159^555^C4VKVACXX^2,r1.fq.bz2,r2.fq.bz2,PPMI_3011^SI1697-SI1696^PPMI_WES
PPMI_3011,SI772-SI771,PPMI_WES,PPMI_3011^SI772-SI771^PPMI_WES.HWI-ST159^527^BC3L8BACXX^7,r1.fq.gz,r2.fq.gz,PPMI_3011^SI772-SI771^PPMI_WES
PPMI_3011,SI772-SI771,PPMI_WES,PPMI_3011^SI772-SI771^PPMI_WES.HWI-ST159^527^BC3L8BACXX^8,r1.fq.gz,r2.fq.gz,PPMI_3011^SI772-SI771^PPMI_WES
PPMI_3011,SI852-SI851,PPMI_WES,PPMI_3011^SI852-SI851^PPMI_WES.SN159^533^C3RDCACXX^7,r1.fq.bz2,r2.fq.bz2,PPMI_3011^SI852-SI851^PPMI_WES
PPMI_3012,SI130-SI122,PPMI_WES,PPMI_3012^SI130-SI122^PPMI_WES.SN159^547^C4D64ACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3012^SI130-SI122^PPMI_WES
PPMI_3012,SI130-SI122,PPMI_WES,PPMI_3012^SI130-SI122^PPMI_WES.SN159^547^C4D64ACXX^2,r1.fq.gz,r2.fq.gz,PPMI_3012^SI130-SI122^PPMI_WES
PPMI_3012,SI130-SI122,PPMI_WES,PPMI_3012^SI130-SI122^PPMI_WES.SN159^547^C4D64ACXX^3,r1.fq.gz,r2.fq.gz,PPMI_3012^SI130-SI122^PPMI_WES
PPMI_3012,SI130-SI122,PPMI_WES,PPMI_3012^SI130-SI122^PPMI_WES.SN159^547^C4D64ACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3012^SI130-SI122^PPMI_WES
PPMI_3013,SI1027-SI1078,PPMI_WES,PPMI_3013^SI1027-SI1078^PPMI_WES.SN987^183^C49AAACXX^7,r1.fq.bz2,r2.fq.bz2,PPMI_3013^SI1027-SI1078^PPMI_WES
PPMI_3013,SI1333-SI1411,PPMI_WES,PPMI_3013^SI1333-SI1411^PPMI_WES.SN987^195^C4HKRACXX^1,r1.fq.bz2,r2.fq.bz2,PPMI_3013^SI1333-SI1411^PPMI_WES
PPMI_3013,SI1808-SI1827,PPMI_WES,PPMI_3013^SI1808-SI1827^PPMI_WES.HWI-ST987^205^BC5CF2ACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3013^SI1808-SI1827^PPMI_WES
PPMI_3013,SI1808-SI1827,PPMI_WES,PPMI_3013^SI1808-SI1827^PPMI_WES.HWI-ST987^205^BC5CF2ACXX^2,r1.fq.gz,r2.fq.gz,PPMI_3013^SI1808-SI1827^PPMI_WES
PPMI_3013,SI1808-SI1827,PPMI_WES,PPMI_3013^SI1808-SI1827^PPMI_WES.HWI-ST987^205^BC5CF2ACXX^3,r1.fq.gz,r2.fq.gz,PPMI_3013^SI1808-SI1827^PPMI_WES
PPMI_3013,SI1808-SI1827,PPMI_WES,PPMI_3013^SI1808-SI1827^PPMI_WES.HWI-ST987^205^BC5CF2ACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3013^SI1808-SI1827^PPMI_WES
PPMI_3013,SI955-SI996,PPMI_WES,PPMI_3013^SI955-SI996^PPMI_WES.SN987^181^C4223ACXX^7,r1.fq.gz,r2.fq.gz,PPMI_3013^SI955-SI996^PPMI_WES
PPMI_3013,SI955-SI996,PPMI_WES,PPMI_3013^SI955-SI996^PPMI_WES.SN987^181^C4223ACXX^8,r1.fq.gz,r2.fq.gz,PPMI_3013^SI955-SI996^PPMI_WES
PPMI_3014,SI206-SI201,PPMI_WES,PPMI_3014^SI206-SI201^PPMI_WES.HWI-ST987^186^AC4GY6ACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3014^SI206-SI201^PPMI_WES
PPMI_3014,SI206-SI201,PPMI_WES,PPMI_3014^SI206-SI201^PPMI_WES.HWI-ST987^186^AC4GY6ACXX^2,r1.fq.gz,r2.fq.gz,PPMI_3014^SI206-SI201^PPMI_WES
PPMI_3014,SI206-SI201,PPMI_WES,PPMI_3014^SI206-SI201^PPMI_WES.HWI-ST987^186^AC4GY6ACXX^3,r1.fq.gz,r2.fq.gz,PPMI_3014^SI206-SI201^PPMI_WES
PPMI_3014,SI206-SI201,PPMI_WES,PPMI_3014^SI206-SI201^PPMI_WES.HWI-ST987^186^AC4GY6ACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3014^SI206-SI201^PPMI_WES
PPMI_3016,SI157-SI156,PPMI_WES,PPMI_3016^SI157-SI156^PPMI_WES.SN987^188^C4E91ACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3016^SI157-SI156^PPMI_WES
PPMI_3016,SI157-SI156,PPMI_WES,PPMI_3016^SI157-SI156^PPMI_WES.SN987^188^C4E91ACXX^2,r1.fq.gz,r2.fq.gz,PPMI_3016^SI157-SI156^PPMI_WES
PPMI_3016,SI157-SI156,PPMI_WES,PPMI_3016^SI157-SI156^PPMI_WES.SN987^188^C4E91ACXX^3,r1.fq.gz,r2.fq.gz,PPMI_3016^SI157-SI156^PPMI_WES
PPMI_3016,SI157-SI156,PPMI_WES,PPMI_3016^SI157-SI156^PPMI_WES.SN987^188^C4E91ACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3016^SI157-SI156^PPMI_WES
PPMI_3018,SI184-SI183,PPMI_WES,PPMI_3018^SI184-SI183^PPMI_WES.SN987^188^C4E91ACXX^5,r1.fq.gz,r2.fq.gz,PPMI_3018^SI184-SI183^PPMI_WES
PPMI_3018,SI184-SI183,PPMI_WES,PPMI_3018^SI184-SI183^PPMI_WES.SN987^188^C4E91ACXX^6,r1.fq.gz,r2.fq.gz,PPMI_3018^SI184-SI183^PPMI_WES
PPMI_3018,SI184-SI183,PPMI_WES,PPMI_3018^SI184-SI183^PPMI_WES.SN987^188^C4E91ACXX^7,r1.fq.gz,r2.fq.gz,PPMI_3018^SI184-SI183^PPMI_WES
PPMI_3018,SI184-SI183,PPMI_WES,PPMI_3018^SI184-SI183^PPMI_WES.SN987^188^C4E91ACXX^8,r1.fq.gz,r2.fq.gz,PPMI_3018^SI184-SI183^PPMI_WES
PPMI_3020,SI162-SI177,PPMI_WES,PPMI_3020^SI162-SI177^PPMI_WES.SN987^188^C4E91ACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3020^SI162-SI177^PPMI_WES
PPMI_3020,SI162-SI177,PPMI_WES,PPMI_3020^SI162-SI177^PPMI_WES.SN987^188^C4E91ACXX^2,r1.fq.gz,r2.fq.gz,PPMI_3020^SI162-SI177^PPMI_WES
PPMI_3020,SI162-SI177,PPMI_WES,PPMI_3020^SI162-SI177^PPMI_WES.SN987^188^C4E91ACXX^3,r1.fq.gz,r2.fq.gz,PPMI_3020^SI162-SI177^PPMI_WES
PPMI_3020,SI162-SI177,PPMI_WES,PPMI_3020^SI162-SI177^PPMI_WES.SN987^188^C4E91ACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3020^SI162-SI177^PPMI_WES
PPMI_3021,SI249-SI254,PPMI_WES,PPMI_3021^SI249-SI254^PPMI_WES.HWI-ST159^556^AC4HT6ACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3021^SI249-SI254^PPMI_WES
PPMI_3021,SI249-SI254,PPMI_WES,PPMI_3021^SI249-SI254^PPMI_WES.HWI-ST159^556^AC4HT6ACXX^2,r1.fq.gz,r2.fq.gz,PPMI_3021^SI249-SI254^PPMI_WES
PPMI_3021,SI249-SI254,PPMI_WES,PPMI_3021^SI249-SI254^PPMI_WES.HWI-ST159^556^AC4HT6ACXX^3,r1.fq.gz,r2.fq.gz,PPMI_3021^SI249-SI254^PPMI_WES
PPMI_3021,SI249-SI254,PPMI_WES,PPMI_3021^SI249-SI254^PPMI_WES.HWI-ST159^556^AC4HT6ACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3021^SI249-SI254^PPMI_WES
PPMI_3022,SI219-SI197,PPMI_WES,PPMI_3022^SI219-SI197^PPMI_WES.HWI-ST987^186^AC4GY6ACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3022^SI219-SI197^PPMI_WES
PPMI_3022,SI219-SI197,PPMI_WES,PPMI_3022^SI219-SI197^PPMI_WES.HWI-ST987^186^AC4GY6ACXX^2,r1.fq.gz,r2.fq.gz,PPMI_3022^SI219-SI197^PPMI_WES
PPMI_3022,SI219-SI197,PPMI_WES,PPMI_3022^SI219-SI197^PPMI_WES.HWI-ST987^186^AC4GY6ACXX^3,r1.fq.gz,r2.fq.gz,PPMI_3022^SI219-SI197^PPMI_WES
PPMI_3022,SI219-SI197,PPMI_WES,PPMI_3022^SI219-SI197^PPMI_WES.HWI-ST987^186^AC4GY6ACXX^4,r1.fq.gz,r2.fq.gz,PPMI_3022^SI219-SI197^PPMI_WES
PPMI_3023,SI264-SI245,PPMI_WES,PPMI_3023^SI264-SI245^PPMI_WES.HWI-ST159^556^AC4HT6ACXX^1,r1.fq.gz,r2.fq.gz,PPMI_3023^SI264-SI245^PPMI_WES
PPMI_3023,SI264-SI245,PPMI_WES,PPMI_3023^SI264-SI245^PPMI_WES.HWI-ST159^556^AC4HT6ACXX^2,r1.fq.gz,r2.fq.gz,PPMI_3023^SI264-SI245^PPMI_WES
PPMI_3023,SI264-SI245,PPMI_WES,PPMI_3023^SI264-SI245^PPMI_WES.HWI-ST159^556^AC4HT6ACXX^3,r1.fq.gz,r2.fq.gz,PPMI_3023^SI264-SI245^PPMI_WES
