0127125	0/0
0140521	0/0
0140622	0/0
0140723	0/0
0140824	0/0
0140925	0/0
0141018	0/0
0141119	0/0
0141220	0/0
0141321	0/0
0141422	0/0
0141523	0/0
0205927	0/0
0339241	0/0
0342735	0/0
0_62000_1	0/0
0_62004_5	0/0
0_62070_19	0/0
0_62070_23	0/0
0_62070_27	0/0
0_62070_33	0/0
0_62071_1	0/0
0_62071_15	0/0
0_62071_22	0/0
0_62071_27	0/0
0_62071_33	0/0
0_62071_37	0/0
0_62071_45	0/0
0_62072_1	0/0
0_62072_12	0/0
0_62072_17	0/0
0_62072_19	0/0
0_62073_3	0/0
0_62080_1	0/0
0_62080_29	0/0
0_62080_3	0/0
0_62080_41	0/0
0_62081_1	0/0
0_62087_1	0/0
0_62087_34	0/0
0_62087_39	0/0
0_62087_4	0/0
0_62087_42	0/0
0_62087_62	0/0
0_62092_2	0/0
0_62092_24	0/0
0_62092_26	0/0
0_62092_3	0/0
0_62092_37	0/0
0_62092_55	0/0
0_62092_57	0/0
0_62100_19	0/0
0_62100_19.exome	0/0
0_62100_21	0/0
0_62100_27	0/0
0_62100_28	0/0
0_62100_29	0/0
0_62100_29.exome	0/0
0_62112_1	0/0
0_62112_17	0/0
0_62112_4	0/0
0_62112_7	0/0
0_62117_7	0/0
0_62126_1	0/0
0_62126_24	0/0
0_62138_1	0/0
0_62138_18	0/0
0_62138_21	0/0
0_62138_8	0/0
0_62149_1	0/0
0_62149_19	0/0
0_62149_30	0/0
0_62151_1	0/0
0_62151_115	0/0
0_62151_185	0/0
0_62151_26	0/0
0_62151_27	0/0
0_62151_31	0/0
0_62151_33	0/0
0_62156_20	0/0
0_62161_11	0/0
0_62161_15	0/0
0_62161_23	0/0
0_62166_1	0/0
0_62177_1	0/0
0_62177_15	0/0
0_62177_4	0/0
0_62177_8	0/0
0_62187_1	0/0
0_62200_8	0/0
0_62205_1	0/0
0_62205_13	0/0
0_62205_18	0/0
0_62205_36	0/0
0_62205_49	0/0
0_62205_7	0/0
0_62207_1	0/0
0_62207_12	0/0
0_62207_20	0/0
0_62207_23	0/0
0_62249_1	0/0
0_62249_10	0/0
0_62249_124	0/0
0_62249_16	0/0
0_62249_173	0/0
0_62249_24	0/0
0_62249_3	0/0
0_62249_42	0/0
0_62249_7	0/0
0_62255_1	0/0
0_62267_1	0/0
0_62267_25	0/0
0_62267_27	0/0
0_62267_44	0/0
0_62267_49	0/0
0_62267_71	0/0
0_62276_1	0/0
0_62278_1	0/0
0_62278_27	0/0
0_62278_32	0/0
0_62278_32.exome	0/0
0_62280_1	0/0
0_62280_16	0/0
0_62280_29	0/0
0_62280_4	0/0
0_62285_1	0/0
0_62286_1	0/0
0_62287_1	0/0
0_62294_1	0/0
0_62295_1	0/0
0_62295_3	0/0
0_62295_35	0/0
0_62295_35.exome	0/0
0_62309_1	0/0
0_62309_1.exome	0/0
0_62309_19	0/0
0_62309_24	0/0
0_62309_3	0/0
0_62309_33	0/0
0_62330_1	0/0
0_62330_44	0/0
0_62330_52	0/0
0_62332_1	0/0
0_62351_1	0/0
0_62351_24	0/0
0_62351_27	0/0
0_62351_31	0/0
0_62351_52	0/0
0_62364_1	0/0
0_62364_39	0/0
0_62364_51	0/0
0_62364_8	0/0
0_62370_10	0/0
0_62370_13	0/0
0_62370_16	0/0
0_62370_6	0/0
0_62377_3	0/0
0_62377_37	0/0
0_62377_41	0/0
0_62377_43	0/0
0_62377_46	0/0
0_62377_7	0/0
0_62397_10	0/0
0_62410_1	0/0
0_62426_2	0/0
0_62426_28	0/0
