species	x	y
D_0__Bacteria.D_1__Acidobacteria.D_2__Blastocatellia..Subgroup.4..D_3__Blastocatellales.D_4__Blastocatellaceae.__	0.6040188394634	0.242650493902106
D_0__Bacteria.D_1__Acidobacteria.D_2__Blastocatellia..Subgroup.4..D_3__DS.100.__.__	1.12441948665232	-0.062389358780482
D_0__Bacteria.D_1__Acidobacteria.D_2__Blastocatellia..Subgroup.4..D_3__Elev.16S.573.D_4__uncultured.bacterium.D_5__uncultured.bacterium	1.03487165107175	0.247457117115226
D_0__Bacteria.D_1__Acidobacteria.D_2__Blastocatellia..Subgroup.4..D_3__Pyrinomonadales.D_4__Pyrinomonadaceae.D_5__RB41	0.107298736864617	0.255538898421262
D_0__Bacteria.D_1__Acidobacteria.D_2__Blastocatellia..Subgroup.4..__.__.__	0.744256734041492	-0.378722206983112
D_0__Bacteria.D_1__Acidobacteria.D_2__Holophagae.D_3__Subgroup.7.__.__	0.692827311283749	0.298850808896183
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.11.D_3__uncultured.bacterium.D_4__uncultured.bacterium.D_5__uncultured.bacterium	0.867523498297587	0.297537246812263
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.15.D_3__uncultured.bacterium.D_4__uncultured.bacterium.D_5__uncultured.bacterium	-1.09019628550499	0.311853633399265
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.17.D_3__uncultured.Holophaga.sp..D_4__uncultured.Holophaga.sp..D_5__uncultured.Holophaga.sp.	-0.895840048498437	0.126008320042028
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.18.D_3__uncultured.bacterium.D_4__uncultured.bacterium.D_5__uncultured.bacterium	-0.330880369779284	0.282044316866086
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.20.D_3__uncultured.bacterium.D_4__uncultured.bacterium.D_5__uncultured.bacterium	0.683291737240977	0.605564494829231
D_0__Bacteria.D_1__Acidobacteria.D_2__Subgroup.21.D_3__uncultured.bacterium.D_4__uncultured.bacterium.D_5__uncultured.bacterium	-0.9708868692153	0.044131626209937
