k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;__	1.0	75.75	103.0	162.25	182.0	59.0	68.25	124.5	233.0	397.0	1.0	22.0	65.0	180.75	325.0	1.0	63.75	127.5	153.75	400.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Neoascochyta	1.0	1.0	13.5	56.25	327.0	1.0	1.0	11.5	39.25	123.0	1.0	1.0	1.0	1.0	26.0	1.0	1.0	5.0	13.0	15.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Peyronellaea	1.0	154.5	215.0	308.25	420.0	78.0	186.5	228.0	269.75	852.0	1.0	78.25	148.5	301.5	603.0	20.0	185.75	239.0	304.0	711.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__unidentified	1.0	22.5	42.5	63.25	109.0	13.0	15.5	58.5	103.25	208.0	1.0	14.0	44.5	86.75	378.0	1.0	25.75	59.5	84.75	233.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Didymosphaeria	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	24.0	1.0	1.0	1.0	1.0	1.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Montagnula	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Paraphaeosphaeria	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Pseudopithomyces	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Verrucoconiothyrium	1.0	151.5	216.5	260.75	536.0	44.0	112.75	172.5	293.25	579.0	1.0	44.75	120.5	326.5	1325.0	12.0	97.5	147.5	191.75	228.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Murilentithecium	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0	1.0	1.0
